total_lots,lot_type,lots_available,carpark_number,update_datetime,address,x_coord,y_coord,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement,latitude,longitude
428,C,285,PM14,2023-02-27T09:37:55,BLK 180A PASIR RIS STREET 11,42109.8791,38528.4122,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12.0,1.9,N,1.3647084328267176,103.96010539790755
412,C,279,PM29,2023-02-27T09:38:08,BLK 601A ELIAS ROAD,40247.7753,39924.3544,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10.0,1.9,N,1.3773336408343004,103.94337373293396
245,C,165,PM16,2023-02-27T09:36:38,BLK 149A PASIR RIS STREET 13,42400.9355,38268.6092,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10.0,2.0,N,1.3623587330477753,103.96272060688607
247,C,162,PM18,2023-02-27T09:37:44,BLK 135A PASIR RIS STREET 11,41750.9103,38533.7141,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,8.0,2.0,N,1.3647565501015353,103.95687982769061
227,C,147,PM11,2023-02-27T09:37:49,BLK 269A PASIR RIS STREET 21,42482.8751,38537.8136,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,8.0,1.9,N,1.3647932754078957,103.96345701840376
239,C,136,PM7,2023-02-27T09:37:32,BLK 257A PASIR RIS STREET 21,42459.8111,38843.4823,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,8.0,1.9,N,1.367557638171991,103.96324992159083
435,C,255,PM13,2023-02-27T09:37:55,BLK 199A PASIR RIS STREET 12,42053.3726,38723.5879,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12.0,1.9,N,1.3664735547775337,103.95959774167476
522,C,311,PM45,2023-02-27T09:37:39,BLK 773A PASIR RIS STREET 71,39416.5981,39622.2609,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10.0,2.0,N,1.374601954887436,103.93590489391259
359,C,234,PM41,2023-02-27T09:37:08,BLK 747A PASIR RIS STREET 71,39214.3187,40090.5883,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,9.0,2.0,N,1.3788374116684643,103.93408744824994
301,C,168,PR1,2023-02-27T09:38:09,BLK 101/108 PASIR RIS STREET 12,41875.5357,38818.4836,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0.0,4.5,N,1.3673318395597107,103.9579998023344
